rank,country_full,country_abrv, elo
92,Kyrgyz Republic,KGZ,362.71
93,Israel,ISR,361.87
94,Estonia,EST,359.41
95,Uzbekistan,UZB,353.91
96,Georgia,GEO,351.51
97,India,IND,349.92
98,Qatar,QAT,347.59
99,Palestine,PLE,347.07
100,Armenia,ARM,338.21
101,Libya,LBY,335.87
102,Vietnam,VIE,334.37
103,Niger,NIG,323.36
104,Haiti,HAI,321.93
105,Azerbaijan,AZE,321.48
106,Madagascar,MAD,307.7
107,Mauritania,MTN,304.17
108,Korea DPR,PRK,303.11
108,Central African Republic,CTA,303.08
110,Jordan,JOR,296.18
111,Sierra Leone,SLE,292.16
112,Kenya,KEN,290.83
113,Bahrain,BHR,289.25
114,Mozambique,MOZ,281.55
115,Philippines,PHI,280.02
116,Namibia,NAM,277.06
117,Kazakhstan,KAZ,272.85
118,Zimbabwe,ZIM,264.59
119,Tajikistan,TJK,263.65
120,New Zealand,NZL,255.78
121,Guinea-Bissau,GNB,255.11
122,Thailand,THA,248.21
123,Malawi,MWI,247.19
123,Chinese Taipei,TPE,246.74
125,Togo,TOG,241.13
126,Lithuania,LTU,239.38
126,Antigua and Barbuda,ATG,239.34
128,Sudan,SDN,232.17
129,Latvia,LVA,230.04
130,Turkmenistan,TKM,229.36
130,Andorra,AND,228.81
132,Nicaragua,NCA,227.69
133,Yemen,YEM,227.43
134,Swaziland,SWZ,222.13
135,St Kitts and Nevis,SKN,218.06
136,Rwanda,RWA,216.13
137,Angola,ANG,209.08
138,Myanmar,MYA,205.52
139,Botswana,BOT,204.52
140,Tanzania,TAN,200.3
141,Kosovo,KVX,197.2
142,Hong Kong,HKG,195.06
143,Equatorial Guinea,EQG,189.97
143,Solomon Islands,SOL,189.91
145,Afghanistan,AFG,187.6
146,Guatemala,GUA,179.79
147,Lesotho,LES,175.48
148,Burundi,BDI,174.16
149,Comoros,COM,171.66
150,Maldives,MDV,171.42
151,Ethiopia,ETH,165.84
152,Dominican Republic,DOM,162.4
153,Suriname,SUR,154.19
154,New Caledonia,NCL,149.6
155,Mauritius,MRI,140.37
156,South Sudan,SSD,131.82
157,Tahiti,TAH,129.62
158,Liberia,LBR,129.08
159,Kuwait,KUW,128.48
160,Barbados,BRB,127.07
161,Nepal,NEP,118.47
162,Vanuatu,VAN,116.83
163,Belize,BLZ,115.31
164,Indonesia,IDN,111.49
165,Fiji,FIJ,103.65
166,Cambodia,CAM,103.2
166,Papua New Guinea,PNG,102.67
168,Grenada,GRN,101.53
169,Singapore,SIN,98.85
170,St Lucia,LCA,94.94
171,Malaysia,MAS,93.04
172,Gambia,GAM,91.94
173,St Vincent and the Grenadines,VIN,88.6
173,Puerto Rico,PUR,88.59
175,Chad,CHA,87.98
175,Moldova,MDA,87.81
177,Dominica,DMA,86.07
178,Bermuda,BER,81.64
178,Laos,LAO,81.58
180,Liechtenstein,LIE,79.76
181,Cuba,CUB,74.88
182,Guyana,GUY,73.41
183,Bhutan,BHU,68.0
184,Malta,MLT,65.11
185,Macau,MAC,60.11
186,Mongolia,MNG,51.0
186,São Tomé e Príncipe,STP,50.54
188,Seychelles,SEY,48.47
188,Aruba,ARU,48.45
190,Guam,GUM,44.96
190,Timor-Leste,TLS,44.86
192,American Samoa,ASA,38.25
192,Cook Islands,COK,38.25
194,Bangladesh,BAN,34.76
195,Gibraltar,GIB,34.16
195,Brunei Darussalam,BRU,34.0
197,Djibouti,DJI,31.88
197,Samoa,SAM,31.8
199,US Virgin Islands,VIR,17.6
200,Sri Lanka,SRI,16.76
201,Pakistan,PAK,10.17
202,Cayman Islands,CAY,8.5
203,San Marino,SMR,7.98
204,British Virgin Islands
204,Montserrat,MSR,4.25
206,Turks and Caicos Islands,TCA,0.0
206,Anguilla,AIA,0.0
206,Bahamas,BAH,0.0
206,Eritrea,ERI,0.0
206,Somalia,SOM,0.0
206,Tonga,TGA,0.0
206,Yugoslavia,0.0
206,Martinique,0.0
206,Guadeloupe,0.0
206,French Guyana,0.0
206,St. Lucia,0.0
206,St. Kitts and Nevis,0.0
206,Manchukuo,0.0
206,Curaçao,0.0
206,Nouméa.0.0
206,San José,0.0
206,Réunion,0.0
206,Zanzibar,0.0
206,Taiwan,0.0
206,Burma,0.0
206,Saarland,0.0
206,Cape Verde,0.0
206,St. Vincent and the Grenadines,0.0
206,Wallis Islands and Futuna,0.0
206,Western Australia,0.0
206,Brunei,0.0
206,São Tomé and Príncipe,0.0
206,Northern Cyprus,0.0
206,Kiribati,0.0
206,Tuvalu,0.0
206,Greenland,0.0
206,Niue,0.0
206,Palau,0.0
206,St. Martin,0.0
206,Guernsey,0.0
206,Jersey,0.0
206,Virgin Islands,0.0
206,Northern Mariana Islands,0.0
206,Micronesia FS,0.0
206,Tibet,0.0
206,Monaco,0.0
206,Mayotte,0.0
206,Vatican,0.0
206,East Timor,0.0
206,St. Pierre & Miquelon,0.0
206,Bonaire,0.0
